Position,PHI_50,PHI_100,PHI_150,PHI_200,PHI_250,PHI_300,PHI_350,PHI_400,PHI_450
3840,0.00739,0.0292,0.14,0.172,0.21,0.236,0.293,0.375,0.431
3850,0.0755,0.0726,0.205,0.223,0.257,0.279,0.33,0.41,0.475
3860,0.221,0.118,0.252,0.254,0.276,0.298,0.336,0.425,0.471
3870,0.444,0.192,0.317,0.299,0.316,0.328,0.374,0.45,0.512
3880,0.548,0.215,0.335,0.312,0.322,0.336,0.371,0.459,0.504
3890,0.686,0.267,0.374,0.339,0.344,0.355,0.388,0.475,0.519
3900,0.688,0.322,0.413,0.363,0.365,0.362,0.407,0.487,0.536
3910,0.696,0.336,0.425,0.372,0.389,0.373,0.412,0.489,0.534
3920,0.177,0.0384,0.0893,0.0755,0.0962,0.0886,0.109,0.15,0.187
3930,0.226,0.0542,0.108,0.0857,0.106,0.0962,0.12,0.157,0.202
3940,0.322,0.101,0.15,0.11,0.126,0.111,0.138,0.18,0.216
3950,0.355,0.13,0.177,0.125,0.138,0.13,0.152,0.205,0.218
3960,0.654,0.269,0.328,0.204,0.18,0.174,0.191,0.243,0.245
3970,0.0689,0.0311,0.0686,0.0483,0.0429,0.0466,0.0533,0.0744,0.072
3980,0.113,0.0566,0.106,0.0652,0.0545,0.0548,0.0698,0.0923,0.0857
3990,0.169,0.0865,0.146,0.0908,0.0698,0.0692,0.0901,0.108,0.104
4000,0.29,0.232,0.238,0.161,0.107,0.0965,0.124,0.127,0.125
4010,0.318,0.35,0.356,0.277,0.184,0.148,0.173,0.156,0.156
4020,0.34,0.414,0.427,0.333,0.225,0.178,0.202,0.172,0.174
4030,0.333,0.561,0.571,0.456,0.312,0.248,0.265,0.214,0.213
4040,0.297,0.546,0.617,0.519,0.4,0.309,0.298,0.235,0.238
4050,0.352,0.587,0.696,0.625,0.496,0.404,0.358,0.283,0.283
4060,0.339,0.573,0.74,0.684,0.574,0.479,0.4,0.317,0.32
4070,0.409,0.64,0.798,0.769,0.675,0.56,0.453,0.365,0.362
4080,0.36,0.632,0.812,0.812,0.739,0.618,0.485,0.391,0.389
4090,0.419,0.649,0.831,0.839,0.77,0.666,0.528,0.43,0.422
4100,0.0277,0.183,0.373,0.438,0.409,0.33,0.247,0.2,0.199
4110,0.0546,0.207,0.408,0.49,0.475,0.37,0.28,0.226,0.223
4120,0.0805,0.234,0.428,0.52,0.504,0.396,0.303,0.239,0.239
4130,0.141,0.319,0.478,0.556,0.558,0.441,0.342,0.28,0.273
4140,0.309,0.428,0.552,0.609,0.618,0.498,0.409,0.344,0.332
4150,0.421,0.502,0.606,0.658,0.635,0.526,0.448,0.371,0.359
4160,0.444,0.529,0.628,0.671,0.626,0.538,0.478,0.385,0.38
4170,0.362,0.533,0.609,0.638,0.58,0.513,0.463,0.387,0.373
4180,0.223,0.546,0.567,0.572,0.511,0.485,0.451,0.39,0.368
4190,0.282,0.687,0.647,0.603,0.537,0.516,0.489,0.476,0.432
4200,0.314,0.736,0.659,0.634,0.549,0.535,0.526,0.511,0.466
4210,0.353,0.769,0.724,0.652,0.584,0.573,0.571,0.571,0.51
4220,0.416,0.801,0.779,0.663,0.576,0.586,0.608,0.606,0.558
4230,0.405,0.793,0.797,0.661,0.573,0.582,0.615,0.623,0.585
4240,0.382,0.759,0.791,0.639,0.568,0.575,0.599,0.615,0.58
4250,0.345,0.762,0.824,0.655,0.565,0.569,0.614,0.631,0.611
4260,0.366,0.747,0.796,0.631,0.557,0.557,0.603,0.644,0.641
4270,0.411,0.795,0.792,0.669,0.576,0.587,0.637,0.672,0.682
4280,0.513,0.809,0.784,0.677,0.589,0.592,0.649,0.697,0.706
4290,0.499,0.799,0.737,0.679,0.59,0.598,0.652,0.714,0.74
4300,0.481,0.8,0.725,0.675,0.58,0.593,0.643,0.717,0.746
4310,0.455,0.808,0.718,0.667,0.596,0.603,0.646,0.74,0.779
4320,0.497,0.755,0.689,0.66,0.621,0.629,0.68,0.779,0.821
4330,0.51,0.635,0.617,0.613,0.609,0.617,0.666,0.763,0.821
4340,0.527,0.543,0.547,0.573,0.61,0.619,0.666,0.765,0.831
4350,0.331,0.398,0.462,0.506,0.56,0.584,0.642,0.753,0.833
4360,0.128,0.267,0.372,0.439,0.508,0.567,0.628,0.742,0.832
4370,0.0527,0.195,0.295,0.392,0.455,0.532,0.596,0.728,0.813
4380,0.0343,0.17,0.275,0.369,0.446,0.524,0.59,0.719,0.807
4390,0.0142,0.129,0.25,0.343,0.424,0.525,0.588,0.715,0.794
4400,0.458,0.829,0.877,0.895,0.909,0.943,0.952,0.976,0.985
4410,0.453,0.826,0.875,0.893,0.907,0.943,0.956,0.978,0.985
4420,0.485,0.801,0.86,0.866,0.897,0.933,0.954,0.975,0.982
4430,0.501,0.812,0.869,0.874,0.903,0.938,0.959,0.977,0.982
4440,0.442,0.785,0.86,0.872,0.901,0.94,0.962,0.975,0.98
4450,0.441,0.783,0.851,0.875,0.896,0.937,0.965,0.973,0.977
4460,0.412,0.735,0.808,0.845,0.878,0.928,0.96,0.97,0.973
4470,0.445,0.756,0.815,0.856,0.889,0.933,0.961,0.972,0.969
4480,0.473,0.73,0.781,0.837,0.884,0.927,0.95,0.967,0.963
4490,0.513,0.763,0.817,0.878,0.907,0.941,0.956,0.968,0.96
4500,0.52,0.725,0.798,0.859,0.894,0.938,0.944,0.957,0.942
4510,0.0975,0.206,0.312,0.454,0.574,0.716,0.738,0.778,0.738
4520,0.128,0.242,0.347,0.487,0.611,0.731,0.742,0.76,0.718
4530,0.179,0.292,0.373,0.519,0.637,0.736,0.731,0.735,0.714
4540,0.359,0.424,0.485,0.596,0.695,0.773,0.758,0.763,0.749
4550,0.541,0.517,0.541,0.632,0.72,0.782,0.755,0.751,0.743
4560,0.152,0.159,0.19,0.244,0.379,0.465,0.45,0.447,0.449
4570,0.245,0.276,0.268,0.301,0.432,0.477,0.462,0.454,0.442
4580,0.366,0.422,0.347,0.351,0.461,0.485,0.451,0.443,0.428
4590,0.516,0.59,0.433,0.413,0.483,0.495,0.444,0.428,0.414
4600,0.532,0.603,0.545,0.488,0.557,0.526,0.463,0.436,0.44
4610,0.515,0.668,0.655,0.58,0.602,0.528,0.463,0.446,0.452
4620,0.392,0.706,0.695,0.622,0.605,0.513,0.449,0.433,0.433
4630,0.449,0.793,0.788,0.698,0.637,0.526,0.46,0.45,0.444
4640,0.518,0.827,0.855,0.763,0.662,0.518,0.478,0.458,0.44
4650,0.496,0.781,0.876,0.792,0.654,0.501,0.459,0.44,0.412
4660,0.104,0.322,0.526,0.448,0.3,0.211,0.209,0.203,0.184
4670,0.121,0.34,0.53,0.41,0.285,0.199,0.199,0.192,0.179
4680,0.176,0.383,0.554,0.441,0.313,0.223,0.215,0.202,0.187
4690,0.252,0.427,0.55,0.442,0.312,0.232,0.22,0.199,0.186
4700,0.294,0.471,0.551,0.451,0.305,0.224,0.225,0.195,0.174
4710,0.319,0.472,0.534,0.412,0.287,0.217,0.209,0.182,0.164
4720,0.37,0.503,0.51,0.362,0.284,0.229,0.213,0.175,0.156
4730,0.428,0.564,0.529,0.386,0.309,0.25,0.226,0.181,0.174
4740,0.417,0.625,0.55,0.409,0.335,0.262,0.244,0.191,0.174
4750,0.483,0.724,0.607,0.449,0.39,0.324,0.289,0.228,0.213
4760,0.447,0.653,0.55,0.388,0.352,0.306,0.257,0.202,0.182
4770,0.472,0.648,0.543,0.386,0.353,0.318,0.264,0.21,0.199
4780,0.448,0.566,0.445,0.314,0.299,0.291,0.257,0.202,0.188
4790,0.285,0.372,0.338,0.241,0.255,0.24,0.234,0.185,0.176
4800,0.193,0.254,0.246,0.192,0.208,0.217,0.221,0.177,0.164
4810,0.0855,0.151,0.156,0.141,0.166,0.172,0.199,0.155,0.148
4820,0.0656,0.121,0.133,0.132,0.167,0.161,0.19,0.157,0.15
4830,0.0542,0.0766,0.0947,0.12,0.166,0.149,0.183,0.16,0.155
4840,0.0572,0.108,0.221,0.285,0.338,0.319,0.374,0.333,0.318
4850,0.0198,0.0418,0.133,0.226,0.254,0.269,0.331,0.315,0.299
4860,0.0095,0.0174,0.0973,0.195,0.218,0.23,0.309,0.295,0.27
4870,0.00482,0.0111,0.074,0.179,0.194,0.218,0.302,0.306,0.281
4880,0.0038,0.00883,0.0663,0.168,0.185,0.212,0.296,0.306,0.3
4890,0.00312,0.00719,0.0634,0.169,0.182,0.211,0.298,0.31,0.306
4900,0.000837,0.00305,0.0435,0.13,0.178,0.194,0.284,0.298,0.304
4910,0.000853,0.00308,0.0437,0.14,0.185,0.197,0.285,0.308,0.324
4920,0.017,0.0734,0.274,0.46,0.507,0.493,0.588,0.607,0.62
4930,0.0119,0.0741,0.234,0.441,0.504,0.495,0.579,0.603,0.633
4940,0.00738,0.0655,0.227,0.416,0.494,0.489,0.577,0.615,0.662
4950,0.00207,0.0285,0.148,0.3,0.381,0.422,0.517,0.561,0.627
4960,3.41e-05,0.000948,0.017,0.0412,0.0848,0.136,0.203,0.26,0.338
4970,0.00353,0.0216,0.109,0.167,0.264,0.346,0.424,0.501,0.594
4980,0.00431,0.0201,0.105,0.146,0.244,0.317,0.401,0.474,0.569
4990,0.0209,0.0326,0.111,0.144,0.233,0.326,0.415,0.488,0.595
5000,0.00297,0.0028,0.0111,0.0199,0.0478,0.0834,0.152,0.204,0.31
5010,0.00252,0.00169,0.00694,0.0138,0.0331,0.0662,0.133,0.176,0.263
5020,3.79e-05,5.71e-06,5.91e-05,0.000249,0.00137,0.00546,0.019,0.032,0.0631
5030,0.000393,1.37e-05,7.51e-05,0.00025,0.00128,0.00553,0.021,0.0373,0.0713
5040,0.00208,2.41e-05,0.000117,0.000359,0.00134,0.00695,0.0262,0.0412,0.0813
5050,0.0173,0.000171,0.000335,0.000681,0.00201,0.00888,0.0305,0.051,0.0915
5060,0.0236,0.00115,0.00104,0.00155,0.00441,0.0135,0.0422,0.075,0.114
5070,0.00567,0.00181,0.00113,0.00125,0.00338,0.00993,0.0342,0.0671,0.107
5080,0.00185,0.00289,0.00164,0.00158,0.00399,0.00923,0.0342,0.074,0.113
5090,0.000402,0.00256,0.00243,0.00186,0.00426,0.0094,0.0339,0.0707,0.109
5100,0.00493,0.0281,0.0463,0.0248,0.0302,0.0493,0.117,0.197,0.265
